branch,phone,addr:full,opening_hours
新營店,06-6590248,台南市新營區新南里民治路242號,AM8:15-PM10:20
麻豆店,06-5714786,台南市麻豆區興國路56-22號,AM9:30-PM9:30
安和店,06-2821265,台南市安南區安和路一段107號,AM8:15-PM10:20
和緯店,06-2519805,台南市北區和緯路二段176號,AM8:15-PM10:20
東門店,06-2884569,台南市東區東門路三段241號,AM9:00-PM10:00
永大店,06-2071575,台南市永康區永大路二段397號,AM10:00-PM10:00
佳里店,06-7236396,台南市佳里區延平路76號,AM8:00-PM9:30
明興店,06-2620793,台南市南區明興路51號,AM9:30-PM9:30
善化店,06-5853585,台南市善化區中山路181號,AM9:30-PM9:30
永華店,06-2985173,台南市安平區永華路二段365號,AM9:30-PM10:30
新進店,06-6565303,台南市新營區新進路二段254號,AM9:00-PM10:00
